id,wave,date,fav_trump,fav_biden,indictment,charge_serious,should_be_charged,politically_motivated,suspend_campaign,doj_hunter_nonpartisan,impeach_biden_hunter,PID,age,age4,educ5,edu4,gender,ethnicity,householdsize,inc7,marit5,metropolitan,region4,rent,state,work10,work3,parent,language,religion,race
256550156,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should not,Not confident at all,Should,A Republican,42,30-49,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Employed part-time (by someone else),Working full-time,parents of children 0-17 YO,English,Other Christian religion,White
256550157,2,Aug 2-3,Unfavorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Don't know,Yes,Should not,Not confident at all,Should,An Independent,74,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$10,000 to $24,999",Divorced,Metro,South,Rented for cash,Florida,Retired,Not working,not parents of children 0-17 YO,English,Catholic,White
256550158,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Don't know,Yes,Don't know,Not so confident,Don't know,A Republican,77,65+,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",4,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,not parents of children 0-17 YO,English,Catholic,White
256550159,2,Aug 2-3,Unfavorable,No opinion,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,Yes,Should,Don't know,Don't know,An Independent,48,30-49,High school graduate (high school diploma or the equivalent GED),High school,Female,Hispanic,3,"$50,000 to $74,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,On furlough,Not working,not parents of children 0-17 YO,Spanish,Catholic,White
256550160,2,Aug 2-3,No opinion,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should not,Yes,Should not,Not confident at all,Should,An Independent,71,65+,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550161,2,Aug 2-3,Unfavorable,No opinion,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not too serious,Should,No,Should,Don't know,Don't know,An Independent,47,30-49,Bachelor's degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Alabama,Homemaker,Not working,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550162,2,Aug 2-3,Unfavorable,No opinion,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Somewhat serious,Should,Don't know,Should,Somewhat confident,Don't know,An Independent,48,30-49,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",5,"$75,000 to $99,999",Now Married,Metro,NorthEast,Rented for cash,Pennsylvania,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",White
256550163,2,Aug 2-3,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,No,Should,Somewhat confident,Should not,An Independent,57,50-64,Master's degree or above,Bachelors degree or higher,Female,"Black, Non-Hispanic",1,"$100,000 to $149,999",Never married,Metro,South,Owned or being bought by you or someone in your household,Texas,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Black
256550164,2,Aug 2-3,Favorable,Unfavorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Not serious at all,Should not,Yes,Should not,Don't know,Don't know,A Republican,50,50-64,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,English,Other Christian religion,White
256550165,2,Aug 2-3,Unfavorable,Favorable,Donald Trump has been indicted by a federal grand jury on charges related to efforts to overturn the 2020 election.,Very serious,Should,No,Should,Very confident,Should not,An Independent,58,50-64,Master's degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Washington,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,English,No religion,White
